iter	Passed	Remaining
735	13873	4976
736	13890	4956
737	13909	4937
738	13928	4919
739	13948	4900
740	13968	4882
741	13987	4863
742	14008	4845
743	14026	4826
744	14046	4807
745	14063	4788
746	14082	4769
747	14103	4751
748	14123	4732
749	14139	4713
750	14159	4694
751	14180	4676
752	14200	4658
753	14217	4638
754	14235	4619
755	14254	4600
756	14274	4582
757	14294	4563
758	14315	4545
759	14335	4526
760	14354	4508
761	14373	4489
762	14394	4471
763	14414	4452
764	14433	4433
765	14450	4414
766	14470	4395
767	14490	4377
768	14508	4358
769	14528	4339
770	14550	4321
771	14566	4302
772	14584	4282
773	14607	4265
774	14627	4246
775	14644	4227
776	14661	4207
777	14678	4188
778	14698	4169
779	14718	4151
780	14738	4132
781	14758	4114
782	14778	4095
783	14799	4077
784	14817	4058
785	14834	4038
786	14855	4020
787	14875	4001
788	14893	3982
789	14913	3964
790	14930	3944
791	14947	3925
792	14966	3906
793	14987	3888
794	15006	3869
795	15025	3850
796	15045	3832
797	15065	3813
798	15086	3795
799	15102	3775
800	15122	3757
801	15140	3737
802	15160	3719
803	15180	3700
804	15200	3682
805	15217	3662
806	15236	3643
807	15255	3625
808	15275	3606
809	15295	3587
810	15316	3569
811	15335	3550
812	15353	3531
813	15372	3512
814	15394	3494
815	15415	3475
816	15434	3457
817	15453	3438
818	15473	3419
819	15492	3400
820	15512	3382
821	15535	3364
822	15553	3345
823	15575	3326
824	15595	3308
825	15614	3289
826	15634	3270
827	15651	3251
828	15669	3232
829	15689	3213
830	15710	3195
831	15731	3176
832	15750	3157
833	15769	3138
834	15786	3119
835	15808	3101
836	15828	3082
837	15848	3063
838	15866	3044
839	15882	3025
840	15901	3006
841	15923	2987
842	15940	2968
843	15959	2949
844	15979	2931
845	16000	2912
846	16020	2893
847	16040	2875
848	16059	2856
849	16079	2837
850	16097	2818
851	16114	2799
852	16131	2780
853	16148	2760
854	16167	2741
855	16188	2723
856	16207	2704
857	16227	2685
858	16247	2666
859	16264	2647
860	16284	2629
861	16304	2610
862	16321	2590
863	16338	2571
864	16357	2552
865	16378	2534
866	16399	2515
867	16416	2496
868	16434	2477
869	16454	2458
870	16475	2440
871	16495	2421
872	16512	2402
873	16532	2383
874	16552	2364
875	16570	2345
876	16591	2327
877	16611	2308
878	16631	2289
879	16649	2270
880	16669	2251
881	16689	2232
